label,url,hostname,length_of_fqdn,replica_in_fqdn,in_top_one_million,num_of_currencies_seen,num_of_duplicate_prices_seen,percent_savings,contain_emails,large_iframes,china_registered,under_a_year,china_registered_dummy,under_a_year_dummy,contain_emails_dummy
0,https://www.myladies.com.tw/,www.myladies.com.tw,19,0,0,0,0,0,0,0,0,0,1,0,0
0,https://www.littlemoni.com.tw/,www.littlemoni.com.tw,21,0,0,1,3,0.20080321285140562,0,0,0,0,1,1,0
0,https://www.littlemoni.com.tw/,www.littlemoni.com.tw,21,0,0,1,3,0.20080321285140562,0,0,0,0,1,0,0
0,https://www.littlemoni.com.tw/,www.littlemoni.com.tw,21,0,0,1,3,0.20080321285140562,0,0,0,0,1,1,0
0,https://www.littlemoni.com.tw/,www.littlemoni.com.tw,21,0,0,1,3,0.20080321285140562,0,0,0,0,1,0,0
0,https://www.littlemoni.com.tw/,www.littlemoni.com.tw,21,0,0,1,3,0.20080321285140562,0,0,0,0,1,1,0
0,https://www.littlemoni.com.tw/,www.littlemoni.com.tw,21,0,0,1,3,0.20080321285140562,0,0,0,0,1,0,0
0,https://www.littlemoni.com.tw/,www.littlemoni.com.tw,21,0,0,1,3,0.20080321285140562,0,0,0,0,1,1,0
0,https://tw.loccitane.com/,tw.loccitane.com,16,0,0,1,6,0.8306451612903226,0,0,0,0,0,0,0
0,http://www.lanew.com.tw/,www.lanew.com.tw,16,0,0,0,0,0,0,1,0,0,1,1,0
0,https://www.lrp.com.tw/,www.lrp.com.tw,14,0,0,1,5,0.04,0,0,0,0,1,0,0
0,https://www.logitech.com/zh-tw,www.logitech.com,16,0,0,0,0,0,0,0,0,0,0,0,0
0,https://www.lorealparis.com.tw/,www.lorealparis.com.tw,22,0,0,0,0,0,0,0,0,0,1,1,0
0,http://www.laneige.com/tw/zh/main.html,www.laneige.com,15,0,0,0,0,0,0,0,0,0,1,0,0
0,http://www.linliwedding.com/,www.linliwedding.com,20,0,0,0,0,0,0,0,0,0,1,1,0
0,http://leejeans-ap.com/,leejeans-ap.com,15,0,0,0,0,0,0,0,0,0,0,0,0
0,http://www.loreal.com.tw/,www.loreal.com.tw,17,0,0,0,0,0,0,0,0,0,1,0,0
0,http://www.lancome.com.tw/,www.lancome.com.tw,18,0,0,1,1,0.5693430656934306,0,0,0,0,1,1,0
0,http://shopping.payeasy.com.tw/,shopping.payeasy.com.tw,23,0,0,0,0,0,0,1,0,0,1,0,0
0,http://shop.myvega.com.tw/v2/official,shop.myvega.com.tw,18,0,0,1,14,1,0,0,0,0,1,1,0
0,https://www.omimibra.com/,www.omimibra.com,16,0,0,0,0,0,0,0,0,0,1,1,0
0,http://www.minibambini.com.tw/,www.minibambini.com.tw,22,0,0,0,0,0,0,0,0,0,1,1,0
0,https://www.maybelline.com.tw/,www.maybelline.com.tw,21,0,0,0,0,0,0,0,0,0,1,0,0
0,https://tw.msi.com/,tw.msi.com,10,0,0,0,0,0,0,0,0,0,0,0,0
0,https://www.etmall.com.tw/,www.etmall.com.tw,17,0,0,0,0,0,0,0,0,0,1,0,0
0,https://www.mamypoko.com.tw/,www.mamypoko.com.tw,19,0,0,0,0,0,0,1,0,0,1,1,0
0,http://100mountain.com/,100mountain.com,15,1,0,0,0,0,0,0,0,0,0,0,0
0,http://100mountain.com/shop/,100mountain.com,15,1,0,0,0,0,0,0,0,0,0,0,0
0,https://www.mtgshop.tw/,www.mtgshop.tw,14,0,0,1,1,0.7796296296296297,0,0,0,0,1,1,0
0,http://www.nacnac.com.tw/,www.nacnac.com.tw,17,0,0,0,0,0,0,0,0,0,1,1,0
0,https://www.naturesgate.com.tw/,www.naturesgate.com.tw,22,0,0,1,4,0.5645645645645646,0,0,0,0,1,1,0
0,https://www.neogence.com.tw/,www.neogence.com.tw,19,0,0,1,3,1,0,0,0,0,1,1,0
0,https://www.neutrogena.com.tw/,www.neutrogena.com.tw,21,0,0,0,0,0,0,0,0,0,1,0,0
0,http://www.nubra.com.tw/,www.nubra.com.tw,16,0,0,1,1,0,0,0,0,0,1,1,0
0,https://www.neoshop.com.tw/,www.neoshop.com.tw,18,0,0,1,1,0.42157894736842105,0,0,0,0,1,0,0
0,https://www.nowfoods.com.tw/,www.nowfoods.com.tw,19,0,0,1,2,0.5,0,0,0,0,1,1,0
0,http://www.naruko.com.tw/shop/index.php,www.naruko.com.tw,17,0,0,1,2,0.7744360902255639,0,1,0,0,1,0,0
0,http://www.naturally-jojo.com/,www.naturally-jojo.com,22,0,0,0,0,0,0,0,0,0,0,0,0
0,https://www.dolce-gusto.com.tw/,www.dolce-gusto.com.tw,22,0,0,1,1,0,0,0,0,0,1,0,0
0,https://www.nativeshoes.com/,www.nativeshoes.com,19,0,0,0,0,0,1,0,0,0,1,0,0
0,https://www.newbalance.com.tw/,www.newbalance.com.tw,21,0,0,0,0,0,0,0,0,0,1,0,0
0,http://www.opi-nail.com.tw/,www.opi-nail.com.tw,19,0,0,0,0,0,0,0,0,0,1,1,0
0,http://www.ohoh-mini.com/,www.ohoh-mini.com,17,0,0,0.3192771084337349,1.6325301204819278,0.14042567548930934,0,0,0,0,0,0,1
