url,label,hostname,length_of_fqdn,replica_in_fqdn,num_of_currencies_seen,num_of_duplicate_prices_seen,percent_savings,contain_emails,large_iframes,under_a_year,china_registered,in_top_one_million
http://www.brita.tw/brita/tw-tw/cms/cpd.grid,0,www.brita.tw,12,False,0.0,0.0,0.0,0.0,False,0.0,,False
http://www.btu.com.tw/,0,www.btu.com.tw,14,False,1.0,2.0,0.0,0.0,False,,,False
http://www.byfunme.me/,0,www.byfunme.me,14,False,1.0,4.0,0.8461538461538459,1.0,False,0.0,0.0,False
http://www.caco.com.tw/Shop/,0,www.caco.com.tw,15,False,0.0,0.0,0.0,0.0,False,0.0,,False
http://www.canon.com.tw/,0,www.canon.com.tw,16,False,0.0,0.0,0.0,0.0,False,0.0,,False
http://www.caroline.com.tw/,0,www.caroline.com.tw,19,False,0.0,0.0,0.0,0.0,False,,,False
http://www.chenson.tw/,0,www.chenson.tw,14,False,0.0,0.0,0.0,0.0,False,0.0,,False
http://www.chiayi.org.tw/,0,www.chiayi.org.tw,17,False,0.0,0.0,0.0,0.0,False,,,False
http://www.chicchoc.com.tw/,0,www.chicchoc.com.tw,19,False,0.0,0.0,0.0,0.0,False,,,False
http://www.chicchoc.com.tw/ch/index.aspx,0,www.chicchoc.com.tw,19,False,0.0,0.0,0.0,0.0,False,0.0,,False
http://www.chineseinla.com/,0,www.chineseinla.com,19,False,1.0,1.0,0.0,0.0,False,0.0,,False
http://www.chiuhua.com.tw/,0,www.chiuhua.com.tw,18,False,1.0,2.0,0.9487750556792872,0.0,False,,,False
http://www.cite.com.tw/,0,www.cite.com.tw,15,False,1.0,1.0,0.915966386554621,0.0,False,,,False
http://www.citizenwatch.com.tw/mobile/,0,www.citizenwatch.com.tw,23,False,0.0,0.0,0.0,0.0,False,,,False
http://www.combi.com.tw/,0,www.combi.com.tw,16,False,0.0,0.0,0.0,0.0,False,0.0,,False
http://www.crocs.com.tw/,0,www.crocs.com.tw,16,False,0.0,0.0,0.0,0.0,False,0.0,,False
http://www.dayneeds.com/,0,www.dayneeds.com,16,False,0.0,0.0,0.0,0.0,False,0.0,0.0,False
http://www.dclife.co.jp/,0,www.dclife.co.jp,16,False,0.0,0.0,0.0,0.0,False,,,False
http://www.dggmall.com.tw/,0,www.dggmall.com.tw,18,False,1.0,1.0,0.0,0.0,False,,,False
http://www.dggmall.com.tw/phpshop/,0,www.dggmall.com.tw,18,False,1.0,1.0,0.0,0.0,False,0.0,,False
http://www.double-love.tw/,0,www.double-love.tw,18,False,0.0,0.0,0.0,0.0,False,,,False
http://www.double-love.tw/App/Shop/Default.aspx,0,www.double-love.tw,18,False,0.0,0.0,0.0,0.0,False,0.0,,False
http://www.drcink.com.tw/,0,www.drcink.com.tw,17,False,0.0,0.0,0.0,0.0,False,0.0,,False
http://www.drcink.com.tw/App/Shop/Default.aspx,0,www.drcink.com.tw,17,False,0.0,0.0,0.0,0.0,False,,,False
http://www.eding.com.tw/v2/official,0,www.eding.com.tw,16,False,1.0,4.0,0.9009009009009,0.0,False,,,False
http://www.efuji.com.tw/,0,www.efuji.com.tw,16,False,1.0,2.0,0.35152838427947497,0.0,False,,,False
http://www.elle.com/,0,www.elle.com,12,False,1.0,2.0,0.0,0.0,True,0.0,0.0,False
http://www.elledecor.com/,0,www.elledecor.com,17,False,1.0,1.0,0.0,0.0,False,0.0,0.0,False
http://www.febico.com.tw/,0,www.febico.com.tw,17,False,0.0,0.0,0.0,0.0,True,,,False
http://www.fila.com.tw/,0,www.fila.com.tw,15,False,0.0,0.0,0.0,0.0,False,0.0,,False
http://www.filminstax.com.tw/,0,www.filminstax.com.tw,21,False,1.0,3.0,0.21739130434782605,0.0,False,,,False
http://www.fitnessdigital.com.tw/Default.aspx,0,www.fitnessdigital.com.tw,25,False,1.0,1.0,0.23861473337310699,0.0,False,,,False
http://www.fly-sport.com.tw/,0,www.fly-sport.com.tw,20,False,1.0,1.0,0.0,0.0,False,,,False
http://www.flymi.com.tw/,0,www.flymi.com.tw,16,False,0.0,0.0,0.0,1.0,False,,,False
